material,cantidad,precio_unitario,unidad,proveedor,fecha_pedido,_ingested_at,_source,costo_total,_processed_at
Cemento,3328.45,623.41,und,CONCREMAX,2024-05-14,20260405_174124,erp_odoo,2074989.01,20260405_175213
Acero Corrugado,542.43,722.09,und,EXSA,2024-06-28,20260405_174124,erp_odoo,391683.28,20260405_175213
Piedra 3/4,1989.12,234.56,m2,EXSA,2024-09-29,20260405_174124,erp_odoo,466567.99,20260405_175213
Geomalla,2622.06,383.7,ton,UNACEM,2024-10-30,20260405_174124,erp_odoo,1006084.42,20260405_175213
Arena Gruesa,3772.61,635.23,und,EXSA,2024-05-06,20260405_174124,erp_odoo,2396475.05,20260405_175213
Acero Corrugado,726.04,255.67,ton,EXSA,2024-01-24,20260405_174124,erp_odoo,185626.65,20260405_175213
Acero Corrugado,4550.7,779.73,m2,FIRTH,2024-05-25,20260405_174124,erp_odoo,3548317.31,20260405_175213
Arena Gruesa,1679.49,561.81,m3,EXSA,2024-06-05,20260405_174124,erp_odoo,943554.28,20260405_175213
Acero Corrugado,84.13,608.99,und,FIRTH,2024-10-02,20260405_174124,erp_odoo,51234.33,20260405_175213
Tubería HDPE,4606.89,792.11,ml,CEMENTO SUR,2024-08-28,20260405_174124,erp_odoo,3649163.64,20260405_175213
Emulsión,1346.85,515.43,m3,FIRTH,2024-07-09,20260405_174124,erp_odoo,694206.9,20260405_175213
Asfalto RC-250,128.61,42.03,ton,UNACEM,2024-12-25,20260405_174124,erp_odoo,5405.48,20260405_175213
Piedra 3/4,2297.71,91.36,ton,YURA,2024-09-28,20260405_174124,erp_odoo,209918.79,20260405_175213
Tubería HDPE,1815.28,301.25,ton,EXSA,2024-01-15,20260405_174124,erp_odoo,546853.1,20260405_175213
Emulsión,3982.82,672.04,und,CEMENTO SUR,2024-09-19,20260405_174124,erp_odoo,2676614.35,20260405_175213
Geomalla,2442.26,206.19,ml,CEMENTO SUR,2024-04-12,20260405_174124,erp_odoo,503569.59,20260405_175213
Piedra 3/4,1428.19,660.94,und,CONCREMAX,2024-10-14,20260405_174124,erp_odoo,943947.9,20260405_175213
Piedra 3/4,152.31,352.59,und,UNACEM,2024-11-01,20260405_174124,erp_odoo,53702.98,20260405_175213
Emulsión,1483.26,459.25,und,YURA,2024-04-17,20260405_174124,erp_odoo,681187.16,20260405_175213
Acero Corrugado,2313.93,749.46,ml,FIRTH,2024-06-23,20260405_174124,erp_odoo,1734197.98,20260405_175213
Geomalla,3301.11,440.47,und,EXSA,2024-03-25,20260405_174124,erp_odoo,1454039.92,20260405_175213
Emulsión,2596.26,760.72,und,FIRTH,2024-11-14,20260405_174124,erp_odoo,1975026.91,20260405_175213
Acero Corrugado,1970.52,296.95,m3,UNACEM,2024-04-24,20260405_174124,erp_odoo,585145.91,20260405_175213
Acero Corrugado,2145.21,766.91,und,UNACEM,2024-12-26,20260405_174124,erp_odoo,1645183.0,20260405_175213
Geomalla,3565.09,375.55,und,YURA,2024-11-05,20260405_174124,erp_odoo,1338869.55,20260405_175213
Asfalto RC-250,4622.87,735.32,ml,CEMENTO SUR,2024-09-02,20260405_174124,erp_odoo,3399288.77,20260405_175213
Geomalla,1383.96,656.09,ml,YURA,2024-09-19,20260405_174124,erp_odoo,908002.32,20260405_175213
Emulsión,967.19,632.62,m3,CONCREMAX,2024-02-26,20260405_174124,erp_odoo,611863.74,20260405_175213
Arena Gruesa,3376.62,765.62,m3,CONCREMAX,2024-09-01,20260405_174124,erp_odoo,2585207.8,20260405_175213
Acero Corrugado,3640.59,513.35,und,UNACEM,2024-11-18,20260405_174124,erp_odoo,1868896.88,20260405_175213
Asfalto RC-250,474.22,620.92,m3,EXSA,2024-08-24,20260405_174124,erp_odoo,294452.68,20260405_175213
Acero Corrugado,2472.29,194.54,m2,UNACEM,2024-07-26,20260405_174124,erp_odoo,480959.3,20260405_175213
Asfalto RC-250,3768.03,460.71,m2,EXSA,2024-01-20,20260405_174124,erp_odoo,1735969.1,20260405_175213
Arena Gruesa,3803.95,229.19,und,FIRTH,2024-07-27,20260405_174124,erp_odoo,871827.3,20260405_175213
Asfalto RC-250,4687.27,14.18,m2,YURA,2024-03-21,20260405_174124,erp_odoo,66465.49,20260405_175213
Emulsión,3402.94,672.28,und,YURA,2024-03-19,20260405_174124,erp_odoo,2287728.5,20260405_175213
Acero Corrugado,871.82,375.08,ml,UNACEM,2024-04-06,20260405_174124,erp_odoo,327002.25,20260405_175213
Cemento,2647.95,455.04,ml,YURA,2024-12-16,20260405_174124,erp_odoo,1204923.17,20260405_175213
Tubería HDPE,478.25,574.66,m2,FIRTH,2024-10-18,20260405_174124,erp_odoo,274831.14,20260405_175213
Tubería HDPE,239.59,393.23,ml,CONCREMAX,2024-03-28,20260405_174124,erp_odoo,94213.98,20260405_175213
Emulsión,124.88,381.85,ton,EXSA,2024-07-08,20260405_174124,erp_odoo,47685.43,20260405_175213
Geomalla,2967.01,561.69,m3,EXSA,2024-06-25,20260405_174124,erp_odoo,1666539.85,20260405_175213
Piedra 3/4,3564.26,51.76,m2,YURA,2024-08-01,20260405_174124,erp_odoo,184486.1,20260405_175213
Asfalto RC-250,865.71,66.04,ml,CEMENTO SUR,2024-07-05,20260405_174124,erp_odoo,57171.49,20260405_175213
Cemento,1347.46,98.81,ml,UNACEM,2024-03-30,20260405_174124,erp_odoo,133142.52,20260405_175213
Cemento,815.69,542.34,ton,YURA,2024-09-20,20260405_174124,erp_odoo,442381.31,20260405_175213
Cemento,727.7,650.98,m3,YURA,2024-03-01,20260405_174124,erp_odoo,473718.15,20260405_175213
Tubería HDPE,4370.07,233.34,ton,CONCREMAX,2024-11-10,20260405_174124,erp_odoo,1019712.13,20260405_175213
Piedra 3/4,4478.23,600.13,und,UNACEM,2024-12-25,20260405_174124,erp_odoo,2687520.17,20260405_175213
Emulsión,4954.23,280.52,m2,CONCREMAX,2024-06-17,20260405_174124,erp_odoo,1389760.6,20260405_175213
Arena Gruesa,1214.94,758.68,und,CEMENTO SUR,2024-04-16,20260405_174124,erp_odoo,921750.68,20260405_175213
Tubería HDPE,1288.61,715.17,und,UNACEM,2024-07-25,20260405_174124,erp_odoo,921575.21,20260405_175213
Geomalla,221.51,776.8,ml,CEMENTO SUR,2024-06-27,20260405_174124,erp_odoo,172068.97,20260405_175213
Geomalla,1757.43,323.85,ton,EXSA,2024-10-06,20260405_174124,erp_odoo,569143.71,20260405_175213
Arena Gruesa,4255.08,212.05,ton,FIRTH,2024-11-06,20260405_174124,erp_odoo,902289.71,20260405_175213
Emulsión,1904.26,302.45,ml,YURA,2024-08-11,20260405_174124,erp_odoo,575943.44,20260405_175213
Acero Corrugado,4956.37,579.26,und,CONCREMAX,2024-06-02,20260405_174124,erp_odoo,2871026.89,20260405_175213
Geomalla,1629.39,758.28,m2,UNACEM,2024-10-02,20260405_174124,erp_odoo,1235533.85,20260405_175213
Asfalto RC-250,4609.73,323.06,und,CEMENTO SUR,2024-11-22,20260405_174124,erp_odoo,1489219.37,20260405_175213
Acero Corrugado,3659.81,687.41,und,EXSA,2024-04-04,20260405_174124,erp_odoo,2515789.99,20260405_175213
Piedra 3/4,2530.39,536.7,ml,EXSA,2024-01-22,20260405_174124,erp_odoo,1358060.31,20260405_175213
Geomalla,2962.42,682.48,ton,UNACEM,2024-04-03,20260405_174124,erp_odoo,2021792.4,20260405_175213
Tubería HDPE,4416.16,504.0,ml,EXSA,2024-03-26,20260405_174124,erp_odoo,2225744.64,20260405_175213
Cemento,4614.88,173.41,ml,YURA,2024-02-28,20260405_174124,erp_odoo,800266.34,20260405_175213
Asfalto RC-250,346.34,265.84,ml,CONCREMAX,2024-06-14,20260405_174124,erp_odoo,92071.03,20260405_175213
Emulsión,564.15,465.24,und,YURA,2024-03-09,20260405_174124,erp_odoo,262465.15,20260405_175213
Asfalto RC-250,1834.6,727.21,ml,FIRTH,2024-09-13,20260405_174124,erp_odoo,1334139.47,20260405_175213
Emulsión,1908.81,437.34,ml,FIRTH,2024-03-12,20260405_174124,erp_odoo,834798.97,20260405_175213
Cemento,4921.9,80.97,und,CONCREMAX,2024-12-27,20260405_174124,erp_odoo,398526.24,20260405_175213
Cemento,1108.92,73.43,ml,UNACEM,2024-08-11,20260405_174124,erp_odoo,81428.0,20260405_175213
Arena Gruesa,905.82,274.48,ml,YURA,2024-08-01,20260405_174124,erp_odoo,248629.47,20260405_175213
Arena Gruesa,3661.55,55.03,ml,UNACEM,2024-08-11,20260405_174124,erp_odoo,201495.1,20260405_175213
Asfalto RC-250,2444.1,399.72,ml,UNACEM,2024-08-16,20260405_174124,erp_odoo,976955.65,20260405_175213
Asfalto RC-250,3577.89,361.2,ml,CEMENTO SUR,2024-10-28,20260405_174124,erp_odoo,1292333.87,20260405_175213
Geomalla,2888.44,355.31,m3,YURA,2024-01-22,20260405_174124,erp_odoo,1026291.62,20260405_175213
Acero Corrugado,3666.1,84.51,und,CONCREMAX,2024-03-31,20260405_174124,erp_odoo,309822.11,20260405_175213
Emulsión,1314.07,142.47,m2,EXSA,2024-06-30,20260405_174124,erp_odoo,187215.55,20260405_175213
Acero Corrugado,3302.85,675.37,m2,FIRTH,2024-04-19,20260405_174124,erp_odoo,2230645.8,20260405_175213
Acero Corrugado,2397.35,329.81,ton,FIRTH,2024-11-08,20260405_174124,erp_odoo,790670.0,20260405_175213
Asfalto RC-250,1532.76,220.7,und,YURA,2024-03-29,20260405_174124,erp_odoo,338280.13,20260405_175213
Asfalto RC-250,837.81,473.95,m2,FIRTH,2024-06-16,20260405_174124,erp_odoo,397080.05,20260405_175213
Cemento,2750.53,44.09,ml,UNACEM,2024-06-25,20260405_174124,erp_odoo,121270.87,20260405_175213
Geomalla,2888.97,753.4,und,YURA,2024-09-20,20260405_174124,erp_odoo,2176550.0,20260405_175213
Asfalto RC-250,2273.1,478.72,und,CEMENTO SUR,2024-04-29,20260405_174124,erp_odoo,1088178.43,20260405_175213
Tubería HDPE,3163.0,232.92,m2,UNACEM,2024-11-13,20260405_174124,erp_odoo,736725.96,20260405_175213
Tubería HDPE,2048.66,519.76,und,EXSA,2024-11-04,20260405_174124,erp_odoo,1064811.52,20260405_175213
Arena Gruesa,402.16,109.01,ml,FIRTH,2024-02-01,20260405_174124,erp_odoo,43839.46,20260405_175213
Tubería HDPE,4310.07,186.45,und,UNACEM,2024-12-11,20260405_174124,erp_odoo,803612.55,20260405_175213
Arena Gruesa,3627.24,399.67,ton,FIRTH,2024-05-09,20260405_174124,erp_odoo,1449699.01,20260405_175213
Piedra 3/4,2824.73,715.03,m2,YURA,2024-06-05,20260405_174124,erp_odoo,2019766.69,20260405_175213
Acero Corrugado,796.96,195.43,und,YURA,2024-09-01,20260405_174124,erp_odoo,155749.89,20260405_175213
Tubería HDPE,15.43,190.68,ml,CEMENTO SUR,2024-06-01,20260405_174124,erp_odoo,2942.19,20260405_175213
Arena Gruesa,823.1,396.5,m2,UNACEM,2024-02-19,20260405_174124,erp_odoo,326359.15,20260405_175213
Cemento,1911.61,533.62,und,CONCREMAX,2024-05-01,20260405_174124,erp_odoo,1020073.33,20260405_175213
Tubería HDPE,1271.4,799.96,ml,EXSA,2024-10-25,20260405_174124,erp_odoo,1017069.14,20260405_175213
Asfalto RC-250,3991.38,202.68,m3,EXSA,2024-08-30,20260405_174124,erp_odoo,808972.9,20260405_175213
Asfalto RC-250,3322.34,49.29,ton,CONCREMAX,2024-04-29,20260405_174124,erp_odoo,163758.14,20260405_175213
Asfalto RC-250,3097.06,307.31,m2,CONCREMAX,2024-08-11,20260405_174124,erp_odoo,951757.51,20260405_175213
Piedra 3/4,3075.93,102.02,ml,UNACEM,2024-01-02,20260405_174124,erp_odoo,313806.38,20260405_175213
Cemento,3151.99,261.2,m3,UNACEM,2024-10-04,20260405_174124,erp_odoo,823299.79,20260405_175213
Asfalto RC-250,1693.7,754.34,m3,CONCREMAX,2024-08-20,20260405_174124,erp_odoo,1277625.66,20260405_175213
Cemento,3398.26,224.16,m3,UNACEM,2024-09-23,20260405_174124,erp_odoo,761753.96,20260405_175213
Geomalla,3550.6,313.87,m3,CEMENTO SUR,2024-11-21,20260405_174124,erp_odoo,1114426.82,20260405_175213
Arena Gruesa,3811.17,540.08,m2,YURA,2024-05-09,20260405_174124,erp_odoo,2058336.69,20260405_175213
Asfalto RC-250,2768.62,686.33,m2,YURA,2024-04-02,20260405_174124,erp_odoo,1900186.96,20260405_175213
Arena Gruesa,2654.25,268.12,m3,CEMENTO SUR,2024-10-27,20260405_174124,erp_odoo,711657.51,20260405_175213
Emulsión,4402.51,232.62,m2,EXSA,2024-08-06,20260405_174124,erp_odoo,1024111.88,20260405_175213
Cemento,451.15,117.99,m3,EXSA,2024-08-08,20260405_174124,erp_odoo,53231.19,20260405_175213
Piedra 3/4,4692.62,48.03,ml,CONCREMAX,2024-05-03,20260405_174124,erp_odoo,225386.54,20260405_175213
Emulsión,985.32,68.54,und,CONCREMAX,2024-04-20,20260405_174124,erp_odoo,67533.83,20260405_175213
Acero Corrugado,4348.99,32.48,ml,FIRTH,2024-04-27,20260405_174124,erp_odoo,141255.2,20260405_175213
Arena Gruesa,3813.09,197.33,und,CONCREMAX,2024-01-26,20260405_174124,erp_odoo,752437.05,20260405_175213
Tubería HDPE,3317.46,738.28,m3,YURA,2024-03-23,20260405_174124,erp_odoo,2449214.37,20260405_175213
Acero Corrugado,843.56,318.94,m3,UNACEM,2024-02-09,20260405_174124,erp_odoo,269045.03,20260405_175213
Arena Gruesa,3513.1,260.8,und,YURA,2024-01-10,20260405_174124,erp_odoo,916216.48,20260405_175213
Asfalto RC-250,3533.88,126.32,und,CONCREMAX,2024-12-02,20260405_174124,erp_odoo,446399.72,20260405_175213
Emulsión,3530.84,551.73,und,FIRTH,2024-12-01,20260405_174124,erp_odoo,1948070.35,20260405_175213
Asfalto RC-250,4368.03,368.31,und,FIRTH,2024-09-26,20260405_174124,erp_odoo,1608789.13,20260405_175213
Geomalla,2897.16,572.13,und,CEMENTO SUR,2024-05-18,20260405_174124,erp_odoo,1657552.15,20260405_175213
Emulsión,1208.29,175.59,ml,CONCREMAX,2024-05-10,20260405_174124,erp_odoo,212163.64,20260405_175213
Emulsión,2784.99,655.0,ml,EXSA,2024-04-07,20260405_174124,erp_odoo,1824168.45,20260405_175213
Emulsión,2353.03,277.44,ml,CONCREMAX,2024-05-03,20260405_174124,erp_odoo,652824.64,20260405_175213
Arena Gruesa,2301.8,351.44,m2,EXSA,2024-04-19,20260405_174124,erp_odoo,808944.59,20260405_175213
Emulsión,3890.91,535.13,und,UNACEM,2024-03-04,20260405_174124,erp_odoo,2082142.67,20260405_175213
Arena Gruesa,753.47,694.57,ton,YURA,2024-12-06,20260405_174124,erp_odoo,523337.66,20260405_175213
Piedra 3/4,4327.45,233.47,ton,FIRTH,2024-07-19,20260405_174124,erp_odoo,1010329.75,20260405_175213
Arena Gruesa,790.57,278.01,und,EXSA,2024-02-23,20260405_174124,erp_odoo,219786.37,20260405_175213
Acero Corrugado,1607.18,229.64,und,UNACEM,2024-08-06,20260405_174124,erp_odoo,369072.82,20260405_175213
Tubería HDPE,4279.96,796.35,und,CEMENTO SUR,2024-07-27,20260405_174124,erp_odoo,3408346.15,20260405_175213
Piedra 3/4,283.29,31.32,und,CEMENTO SUR,2024-10-02,20260405_174124,erp_odoo,8872.64,20260405_175213
Asfalto RC-250,3868.89,61.24,ml,FIRTH,2024-01-30,20260405_174124,erp_odoo,236930.82,20260405_175213
Arena Gruesa,4230.37,255.42,ml,YURA,2024-12-06,20260405_174124,erp_odoo,1080521.11,20260405_175213
Arena Gruesa,1281.66,7.16,ton,CEMENTO SUR,2024-11-11,20260405_174124,erp_odoo,9176.69,20260405_175213
Asfalto RC-250,3234.98,769.74,und,EXSA,2024-07-24,20260405_174124,erp_odoo,2490093.51,20260405_175213
Piedra 3/4,2309.44,249.6,ton,CEMENTO SUR,2024-07-23,20260405_174124,erp_odoo,576436.22,20260405_175213
Tubería HDPE,4158.09,561.49,m2,FIRTH,2024-09-23,20260405_174124,erp_odoo,2334725.95,20260405_175213
Arena Gruesa,436.42,659.1,m3,EXSA,2024-02-05,20260405_174124,erp_odoo,287644.42,20260405_175213
Cemento,4003.77,56.54,m3,FIRTH,2024-11-15,20260405_174124,erp_odoo,226373.16,20260405_175213
Geomalla,3389.04,653.63,und,EXSA,2024-04-23,20260405_174124,erp_odoo,2215178.22,20260405_175213
Acero Corrugado,4359.75,96.58,ml,CEMENTO SUR,2024-11-20,20260405_174124,erp_odoo,421064.66,20260405_175213
Emulsión,604.88,403.26,m3,CONCREMAX,2024-03-20,20260405_174124,erp_odoo,243923.91,20260405_175213
Piedra 3/4,4069.99,764.11,und,CONCREMAX,2024-01-27,20260405_174124,erp_odoo,3109920.06,20260405_175213
Emulsión,1649.48,489.13,m2,UNACEM,2024-09-11,20260405_174124,erp_odoo,806810.15,20260405_175213
Geomalla,2671.94,410.82,ton,YURA,2024-10-26,20260405_174124,erp_odoo,1097686.39,20260405_175213
Asfalto RC-250,3413.21,154.41,und,CONCREMAX,2024-06-20,20260405_174124,erp_odoo,527033.76,20260405_175213
Tubería HDPE,3475.71,278.42,m2,FIRTH,2024-10-07,20260405_174124,erp_odoo,967707.18,20260405_175213
Arena Gruesa,1281.52,200.49,ton,EXSA,2024-01-28,20260405_174124,erp_odoo,256931.94,20260405_175213
Geomalla,1595.47,505.71,ton,CEMENTO SUR,2024-04-27,20260405_174124,erp_odoo,806845.13,20260405_175213
Tubería HDPE,4437.93,380.12,ton,EXSA,2024-10-14,20260405_174124,erp_odoo,1686945.95,20260405_175213
Piedra 3/4,550.92,253.52,und,YURA,2024-03-30,20260405_174124,erp_odoo,139669.24,20260405_175213
Cemento,1299.84,419.98,ml,UNACEM,2024-07-19,20260405_174124,erp_odoo,545906.8,20260405_175213
Asfalto RC-250,4045.53,299.9,und,UNACEM,2024-06-24,20260405_174124,erp_odoo,1213254.45,20260405_175213
Arena Gruesa,4932.95,117.92,ml,YURA,2024-08-15,20260405_174124,erp_odoo,581693.46,20260405_175213
Acero Corrugado,1376.87,229.4,ml,CONCREMAX,2024-10-13,20260405_174124,erp_odoo,315853.98,20260405_175213
Arena Gruesa,1562.54,645.19,m3,EXSA,2024-01-27,20260405_174124,erp_odoo,1008135.18,20260405_175213
Arena Gruesa,764.29,448.68,ton,FIRTH,2024-08-01,20260405_174124,erp_odoo,342921.64,20260405_175213
Piedra 3/4,522.85,277.44,und,CONCREMAX,2024-05-20,20260405_174124,erp_odoo,145059.5,20260405_175213
Arena Gruesa,4283.68,591.49,ton,YURA,2024-03-17,20260405_174124,erp_odoo,2533753.88,20260405_175213
Tubería HDPE,4236.24,257.41,ml,EXSA,2024-11-18,20260405_174124,erp_odoo,1090450.54,20260405_175213
Geomalla,4377.96,533.24,und,CEMENTO SUR,2024-05-07,20260405_174124,erp_odoo,2334503.39,20260405_175213
Arena Gruesa,3802.6,209.53,m2,YURA,2024-10-11,20260405_174124,erp_odoo,796758.78,20260405_175213
Arena Gruesa,1887.06,797.05,und,YURA,2024-08-04,20260405_174124,erp_odoo,1504081.17,20260405_175213
Piedra 3/4,4219.99,56.97,und,EXSA,2024-11-16,20260405_174124,erp_odoo,240412.83,20260405_175213
Arena Gruesa,2819.81,218.99,m2,CONCREMAX,2024-04-09,20260405_174124,erp_odoo,617510.19,20260405_175213
Tubería HDPE,2190.39,630.57,und,UNACEM,2024-02-09,20260405_174124,erp_odoo,1381194.22,20260405_175213
Cemento,1768.88,608.49,ton,CONCREMAX,2024-07-05,20260405_174124,erp_odoo,1076345.79,20260405_175213
Cemento,3384.75,115.79,und,FIRTH,2024-07-21,20260405_174124,erp_odoo,391920.2,20260405_175213
Asfalto RC-250,2699.08,96.08,ton,CONCREMAX,2024-06-08,20260405_174124,erp_odoo,259327.61,20260405_175213
Tubería HDPE,1366.18,90.56,und,CEMENTO SUR,2024-08-06,20260405_174124,erp_odoo,123721.26,20260405_175213
Geomalla,3474.69,263.19,und,UNACEM,2024-01-16,20260405_174124,erp_odoo,914503.66,20260405_175213
Cemento,1780.91,670.69,m2,CEMENTO SUR,2024-01-19,20260405_174124,erp_odoo,1194438.53,20260405_175213
Piedra 3/4,3793.13,367.93,m2,UNACEM,2024-12-03,20260405_174124,erp_odoo,1395606.32,20260405_175213
Acero Corrugado,3427.83,112.12,ton,YURA,2024-09-23,20260405_174124,erp_odoo,384328.3,20260405_175213
Tubería HDPE,3843.34,473.52,und,CEMENTO SUR,2024-02-12,20260405_174124,erp_odoo,1819898.36,20260405_175213
Cemento,2435.61,593.45,m2,CONCREMAX,2024-08-14,20260405_174124,erp_odoo,1445412.75,20260405_175213
Emulsión,4218.6,547.7,m2,EXSA,2024-02-26,20260405_174124,erp_odoo,2310527.22,20260405_175213
Tubería HDPE,2693.98,12.12,ml,CEMENTO SUR,2024-04-02,20260405_174124,erp_odoo,32651.04,20260405_175213
Asfalto RC-250,307.08,303.69,ml,UNACEM,2024-01-30,20260405_174124,erp_odoo,93257.13,20260405_175213
Tubería HDPE,2734.2,181.3,ml,CONCREMAX,2024-04-27,20260405_174124,erp_odoo,495710.46,20260405_175213
Asfalto RC-250,1690.42,81.08,und,UNACEM,2024-03-26,20260405_174124,erp_odoo,137059.25,20260405_175213
Asfalto RC-250,4623.5,719.67,ton,EXSA,2024-01-22,20260405_174124,erp_odoo,3327394.24,20260405_175213
Acero Corrugado,4668.18,289.3,ton,EXSA,2024-02-13,20260405_174124,erp_odoo,1350504.47,20260405_175213
Emulsión,3838.46,86.66,ml,YURA,2024-02-01,20260405_174124,erp_odoo,332640.94,20260405_175213
Emulsión,2477.73,731.25,m3,FIRTH,2024-09-15,20260405_174124,erp_odoo,1811840.06,20260405_175213
Acero Corrugado,1186.01,254.77,ton,CONCREMAX,2024-03-24,20260405_174124,erp_odoo,302159.77,20260405_175213
Acero Corrugado,524.3,117.7,m3,UNACEM,2024-11-12,20260405_174124,erp_odoo,61710.11,20260405_175213
Acero Corrugado,3921.26,694.69,und,YURA,2024-02-14,20260405_174124,erp_odoo,2724060.11,20260405_175213
Tubería HDPE,768.71,103.6,m3,UNACEM,2024-03-12,20260405_174124,erp_odoo,79638.36,20260405_175213
Tubería HDPE,2529.91,618.68,ml,YURA,2024-12-07,20260405_174124,erp_odoo,1565204.72,20260405_175213
Piedra 3/4,4541.76,702.29,und,YURA,2024-04-22,20260405_174124,erp_odoo,3189632.63,20260405_175213
Arena Gruesa,575.05,91.96,m2,UNACEM,2024-11-26,20260405_174124,erp_odoo,52881.6,20260405_175213
Tubería HDPE,1718.82,15.62,ml,CEMENTO SUR,2024-04-27,20260405_174124,erp_odoo,26847.97,20260405_175213
Cemento,4852.66,227.56,m3,EXSA,2024-06-09,20260405_174124,erp_odoo,1104271.31,20260405_175213
Arena Gruesa,3375.0,450.0,und,FIRTH,2024-09-26,20260405_174124,erp_odoo,1518750.0,20260405_175213
Arena Gruesa,1604.37,296.72,ton,EXSA,2024-04-13,20260405_174124,erp_odoo,476048.67,20260405_175213
Arena Gruesa,1537.55,156.17,ton,EXSA,2024-11-24,20260405_174124,erp_odoo,240119.18,20260405_175213
Acero Corrugado,3553.87,581.73,m2,CEMENTO SUR,2024-09-03,20260405_174124,erp_odoo,2067392.8,20260405_175213
Geomalla,2739.85,218.3,ml,YURA,2024-10-27,20260405_174124,erp_odoo,598109.26,20260405_175213
Piedra 3/4,1002.2,769.61,m2,EXSA,2024-08-20,20260405_174124,erp_odoo,771303.14,20260405_175213
Asfalto RC-250,3471.25,371.08,ml,CONCREMAX,2024-05-16,20260405_174124,erp_odoo,1288111.45,20260405_175213
Asfalto RC-250,486.9,13.68,m2,EXSA,2024-04-11,20260405_174124,erp_odoo,6660.79,20260405_175213
Arena Gruesa,2481.9,650.46,ton,YURA,2024-09-10,20260405_174124,erp_odoo,1614376.67,20260405_175213
Acero Corrugado,2830.77,619.06,m2,FIRTH,2024-03-04,20260405_174124,erp_odoo,1752416.48,20260405_175213
Acero Corrugado,3794.27,614.69,und,EXSA,2024-06-17,20260405_174124,erp_odoo,2332299.83,20260405_175213
Cemento,2458.15,744.19,und,FIRTH,2024-07-30,20260405_174124,erp_odoo,1829330.65,20260405_175213
Emulsión,1602.09,553.31,ml,CEMENTO SUR,2024-10-11,20260405_174124,erp_odoo,886452.42,20260405_175213
Acero Corrugado,3352.97,20.66,und,YURA,2024-04-18,20260405_174124,erp_odoo,69272.36,20260405_175213
Asfalto RC-250,2182.25,18.33,ton,CONCREMAX,2024-08-26,20260405_174124,erp_odoo,40000.64,20260405_175213
Arena Gruesa,3990.88,712.53,und,CEMENTO SUR,2024-12-11,20260405_174124,erp_odoo,2843621.73,20260405_175213
Emulsión,2403.31,548.66,ml,EXSA,2024-12-29,20260405_174124,erp_odoo,1318600.06,20260405_175213
Tubería HDPE,1294.41,294.22,ton,YURA,2024-08-01,20260405_174124,erp_odoo,380841.31,20260405_175213
Geomalla,1020.94,418.03,ton,FIRTH,2024-04-30,20260405_174124,erp_odoo,426783.55,20260405_175213
Piedra 3/4,2025.03,50.0,ml,UNACEM,2024-11-17,20260405_174124,erp_odoo,101251.5,20260405_175213
Tubería HDPE,1413.52,298.16,und,YURA,2024-05-26,20260405_174124,erp_odoo,421455.12,20260405_175213
Acero Corrugado,2839.32,706.76,und,FIRTH,2024-05-11,20260405_174124,erp_odoo,2006717.8,20260405_175213
Cemento,2148.47,265.0,und,CEMENTO SUR,2024-09-24,20260405_174124,erp_odoo,569344.55,20260405_175213
Tubería HDPE,3861.68,216.0,m3,CONCREMAX,2024-06-20,20260405_174124,erp_odoo,834122.88,20260405_175213
Acero Corrugado,878.69,685.56,und,EXSA,2024-08-12,20260405_174124,erp_odoo,602394.72,20260405_175213
Arena Gruesa,40.69,430.07,und,FIRTH,2024-08-07,20260405_174124,erp_odoo,17499.55,20260405_175213
Piedra 3/4,1311.74,762.5,ton,CONCREMAX,2024-03-24,20260405_174124,erp_odoo,1000201.75,20260405_175213
Tubería HDPE,2115.93,297.31,ton,CEMENTO SUR,2024-05-20,20260405_174124,erp_odoo,629087.15,20260405_175213
Emulsión,776.32,29.41,m2,EXSA,2024-09-07,20260405_174124,erp_odoo,22831.57,20260405_175213
Cemento,1200.4,701.14,und,FIRTH,2024-09-13,20260405_174124,erp_odoo,841648.46,20260405_175213
Emulsión,919.63,634.12,ton,FIRTH,2024-09-30,20260405_174124,erp_odoo,583155.78,20260405_175213
Cemento,4790.16,40.3,und,CONCREMAX,2024-09-20,20260405_174124,erp_odoo,193043.45,20260405_175213
Emulsión,2448.25,109.96,und,CEMENTO SUR,2024-11-28,20260405_174124,erp_odoo,269209.57,20260405_175213
Acero Corrugado,4596.53,45.98,und,EXSA,2024-05-14,20260405_174124,erp_odoo,211348.45,20260405_175213
Geomalla,4352.62,620.16,und,FIRTH,2024-04-17,20260405_174124,erp_odoo,2699320.82,20260405_175213
Asfalto RC-250,1267.44,702.17,und,FIRTH,2024-12-27,20260405_174124,erp_odoo,889958.34,20260405_175213
Emulsión,4239.7,116.07,m2,UNACEM,2024-01-17,20260405_174124,erp_odoo,492101.98,20260405_175213
Emulsión,4693.32,798.92,ton,CEMENTO SUR,2024-06-11,20260405_174124,erp_odoo,3749587.21,20260405_175213
Geomalla,1674.8,737.67,m3,UNACEM,2024-10-20,20260405_174124,erp_odoo,1235449.72,20260405_175213
Acero Corrugado,2481.13,417.33,m2,UNACEM,2024-10-13,20260405_174124,erp_odoo,1035449.98,20260405_175213
Cemento,3715.98,462.41,m3,CEMENTO SUR,2024-12-18,20260405_174124,erp_odoo,1718306.31,20260405_175213
Piedra 3/4,2201.45,789.01,und,YURA,2024-07-22,20260405_174124,erp_odoo,1736966.06,20260405_175213
