material,cantidad,precio_unitario,unidad,proveedor,fecha_pedido,_ingested_at,_source
Cemento,4986.08,719.04,und,CEMENTO SUR,2024-10-31,20260405_232605,erp_odoo
Cemento,2964.1,147.26,m3,FIRTH,2024-05-16,20260405_232605,erp_odoo
Acero Corrugado,2378.22,341.9,m3,CEMENTO SUR,2024-12-07,20260405_232605,erp_odoo
Geomalla,4169.85,462.33,m2,EXSA,2024-08-03,20260405_232605,erp_odoo
Acero Corrugado,708.54,226.4,und,CONCREMAX,2024-02-05,20260405_232605,erp_odoo
Asfalto RC-250,793.31,673.17,m2,YURA,2024-11-03,20260405_232605,erp_odoo
Asfalto RC-250,656.23,125.47,m3,UNACEM,2024-08-24,20260405_232605,erp_odoo
Emulsión,1723.21,608.82,und,FIRTH,2024-04-18,20260405_232605,erp_odoo
Cemento,,290.75,m3,EXSA,2024-02-05,20260405_232605,erp_odoo
Asfalto RC-250,3617.23,413.96,m2,YURA,2024-11-22,20260405_232605,erp_odoo
Cemento,,615.6,m2,CONCREMAX,2024-05-24,20260405_232605,erp_odoo
Geomalla,2223.83,798.48,m3,EXSA,2024-10-10,20260405_232605,erp_odoo
Emulsión,2901.45,206.64,m3,EXSA,2024-09-07,20260405_232605,erp_odoo
Asfalto RC-250,1091.26,778.1,m3,CEMENTO SUR,2024-09-23,20260405_232605,erp_odoo
Asfalto RC-250,1826.13,360.37,m2,CONCREMAX,2024-06-28,20260405_232605,erp_odoo
Geomalla,4690.83,517.3,ml,YURA,2024-12-21,20260405_232605,erp_odoo
Tubería HDPE,1108.08,223.4,m3,UNACEM,2024-04-14,20260405_232605,erp_odoo
Acero Corrugado,1047.26,704.84,und,YURA,2024-11-15,20260405_232605,erp_odoo
Geomalla,986.0,151.22,m2,FIRTH,2024-02-28,20260405_232605,erp_odoo
Tubería HDPE,584.32,587.81,m2,EXSA,2024-10-15,20260405_232605,erp_odoo
Asfalto RC-250,3342.68,156.99,ton,YURA,2024-07-08,20260405_232605,erp_odoo
Cemento,3492.3,605.58,ton,EXSA,2024-09-05,20260405_232605,erp_odoo
Tubería HDPE,4236.6,40.1,ton,CONCREMAX,2024-01-16,20260405_232605,erp_odoo
Acero Corrugado,657.48,330.04,m3,FIRTH,2024-05-07,20260405_232605,erp_odoo
Emulsión,4682.24,115.28,ml,YURA,2024-03-11,20260405_232605,erp_odoo
Arena Gruesa,2549.07,687.48,und,CONCREMAX,2024-03-20,20260405_232605,erp_odoo
Tubería HDPE,2567.47,580.27,m2,FIRTH,2024-05-18,20260405_232605,erp_odoo
Piedra 3/4,3440.01,765.04,und,CEMENTO SUR,2024-08-30,20260405_232605,erp_odoo
Emulsión,3384.72,548.96,m3,FIRTH,2024-07-05,20260405_232605,erp_odoo
Cemento,4282.55,772.6,,CONCREMAX,2024-01-20,20260405_232605,erp_odoo
Acero Corrugado,748.56,520.92,ton,EXSA,2024-02-21,20260405_232605,erp_odoo
Emulsión,2678.9,349.3,,FIRTH,2024-01-27,20260405_232605,erp_odoo
Emulsión,4471.3,179.99,ml,FIRTH,2024-08-26,20260405_232605,erp_odoo
Geomalla,1233.68,148.09,und,YURA,2024-06-12,20260405_232605,erp_odoo
Tubería HDPE,443.71,508.69,ml,UNACEM,2024-07-20,20260405_232605,erp_odoo
Piedra 3/4,1855.73,154.61,und,CONCREMAX,2024-01-06,20260405_232605,erp_odoo
Acero Corrugado,2550.62,518.19,,YURA,2024-07-05,20260405_232605,erp_odoo
Arena Gruesa,2004.06,683.97,m2,EXSA,2024-08-29,20260405_232605,erp_odoo
Piedra 3/4,2341.22,790.26,,EXSA,2024-05-24,20260405_232605,erp_odoo
Acero Corrugado,3231.44,379.38,m2,EXSA,2024-02-11,20260405_232605,erp_odoo
Tubería HDPE,1426.39,609.83,und,EXSA,2024-06-23,20260405_232605,erp_odoo
Acero Corrugado,580.87,510.02,,CEMENTO SUR,2024-04-22,20260405_232605,erp_odoo
Geomalla,4263.74,232.18,und,EXSA,2024-12-15,20260405_232605,erp_odoo
Tubería HDPE,1057.82,52.17,m2,EXSA,2024-12-08,20260405_232605,erp_odoo
Geomalla,832.49,370.65,,EXSA,2024-12-10,20260405_232605,erp_odoo
Acero Corrugado,3261.82,351.67,m3,FIRTH,2024-05-28,20260405_232605,erp_odoo
Cemento,714.57,171.1,m3,YURA,2024-12-22,20260405_232605,erp_odoo
Geomalla,112.96,476.81,,CONCREMAX,2024-08-07,20260405_232605,erp_odoo
Geomalla,1926.17,492.53,ton,UNACEM,2024-03-17,20260405_232605,erp_odoo
Cemento,1982.19,467.4,,CEMENTO SUR,2024-07-15,20260405_232605,erp_odoo
Emulsión,3313.79,7.34,m2,CONCREMAX,2024-10-29,20260405_232605,erp_odoo
Piedra 3/4,4210.71,409.73,,CEMENTO SUR,2024-06-17,20260405_232605,erp_odoo
Cemento,4045.99,551.28,m2,CEMENTO SUR,2024-12-23,20260405_232605,erp_odoo
Emulsión,996.69,511.0,m2,UNACEM,2024-10-20,20260405_232605,erp_odoo
Tubería HDPE,1666.25,152.11,m3,UNACEM,2024-04-20,20260405_232605,erp_odoo
Geomalla,735.22,59.51,m3,FIRTH,2024-05-09,20260405_232605,erp_odoo
Cemento,3796.48,70.62,ml,YURA,2024-09-02,20260405_232605,erp_odoo
Geomalla,1286.33,229.14,,CONCREMAX,2024-08-09,20260405_232605,erp_odoo
Emulsión,2029.61,639.75,m3,CEMENTO SUR,2024-12-27,20260405_232605,erp_odoo
Acero Corrugado,4303.41,454.97,,EXSA,2024-01-24,20260405_232605,erp_odoo
Acero Corrugado,2607.93,783.39,m2,CEMENTO SUR,2024-11-14,20260405_232605,erp_odoo
Cemento,365.71,99.86,,FIRTH,2024-06-10,20260405_232605,erp_odoo
Piedra 3/4,4425.18,536.32,,CONCREMAX,2024-02-18,20260405_232605,erp_odoo
Arena Gruesa,,240.34,und,FIRTH,2024-02-23,20260405_232605,erp_odoo
Piedra 3/4,,40.59,,FIRTH,2024-03-10,20260405_232605,erp_odoo
Tubería HDPE,4689.07,503.82,und,YURA,2024-11-21,20260405_232605,erp_odoo
Geomalla,4115.45,623.87,m3,CEMENTO SUR,2024-12-24,20260405_232605,erp_odoo
Arena Gruesa,1694.36,422.03,ml,CONCREMAX,2024-06-17,20260405_232605,erp_odoo
Geomalla,2375.31,116.99,,UNACEM,2024-10-10,20260405_232605,erp_odoo
Geomalla,3796.34,671.03,m2,EXSA,2024-08-24,20260405_232605,erp_odoo
Piedra 3/4,4920.0,593.43,ton,YURA,2024-04-14,20260405_232605,erp_odoo
Emulsión,1512.71,499.73,,CONCREMAX,2024-05-28,20260405_232605,erp_odoo
Cemento,3064.64,66.07,ton,YURA,2024-11-12,20260405_232605,erp_odoo
Geomalla,3089.23,516.73,,YURA,2024-10-17,20260405_232605,erp_odoo
Tubería HDPE,3700.84,175.11,m3,CEMENTO SUR,2024-10-30,20260405_232605,erp_odoo
Arena Gruesa,1876.0,666.65,und,FIRTH,2024-07-07,20260405_232605,erp_odoo
Arena Gruesa,752.7,213.65,m3,YURA,2024-07-02,20260405_232605,erp_odoo
Piedra 3/4,4145.69,696.15,,CEMENTO SUR,2024-02-25,20260405_232605,erp_odoo
Emulsión,2951.61,27.88,und,EXSA,2024-04-03,20260405_232605,erp_odoo
Piedra 3/4,990.49,416.69,m3,FIRTH,2024-03-11,20260405_232605,erp_odoo
Acero Corrugado,2209.02,375.07,ton,YURA,2024-02-13,20260405_232605,erp_odoo
Arena Gruesa,3432.98,436.99,ml,FIRTH,2024-02-21,20260405_232605,erp_odoo
Asfalto RC-250,1420.41,723.17,und,CEMENTO SUR,2024-02-07,20260405_232605,erp_odoo
Arena Gruesa,3420.49,154.9,ton,CONCREMAX,2024-12-01,20260405_232605,erp_odoo
Emulsión,2276.97,488.27,m2,FIRTH,2024-08-14,20260405_232605,erp_odoo
Cemento,3426.88,778.31,ton,FIRTH,2024-01-10,20260405_232605,erp_odoo
Tubería HDPE,,560.97,und,EXSA,2024-12-08,20260405_232605,erp_odoo
Tubería HDPE,4590.75,602.3,ton,EXSA,2024-07-20,20260405_232605,erp_odoo
Acero Corrugado,4890.63,753.87,ton,FIRTH,2024-05-11,20260405_232605,erp_odoo
Emulsión,312.57,485.98,m2,FIRTH,2024-04-19,20260405_232605,erp_odoo
Emulsión,3271.35,184.55,und,UNACEM,2024-06-12,20260405_232605,erp_odoo
Asfalto RC-250,2318.25,287.37,ton,FIRTH,2024-05-14,20260405_232605,erp_odoo
Tubería HDPE,2285.22,61.89,ml,FIRTH,2024-08-05,20260405_232605,erp_odoo
Cemento,3031.9,297.58,,FIRTH,2024-04-01,20260405_232605,erp_odoo
Acero Corrugado,936.38,126.42,m2,FIRTH,2024-03-04,20260405_232605,erp_odoo
Emulsión,3245.82,120.89,ml,EXSA,2024-04-13,20260405_232605,erp_odoo
Cemento,2468.28,431.26,ml,CEMENTO SUR,2024-09-04,20260405_232605,erp_odoo
Tubería HDPE,,635.61,m2,EXSA,2024-11-10,20260405_232605,erp_odoo
Arena Gruesa,2460.71,56.73,ton,YURA,2024-06-26,20260405_232605,erp_odoo
Tubería HDPE,4484.35,266.33,und,EXSA,2024-02-26,20260405_232605,erp_odoo
Geomalla,3353.45,629.19,ton,YURA,2024-07-17,20260405_232605,erp_odoo
Cemento,2156.85,527.8,m2,FIRTH,2024-07-08,20260405_232605,erp_odoo
Asfalto RC-250,3354.44,520.16,,FIRTH,2024-09-17,20260405_232605,erp_odoo
Tubería HDPE,2362.33,167.14,,EXSA,2024-04-27,20260405_232605,erp_odoo
Tubería HDPE,1368.72,201.14,m3,FIRTH,2024-06-21,20260405_232605,erp_odoo
Arena Gruesa,1410.37,191.59,ton,CEMENTO SUR,2024-09-21,20260405_232605,erp_odoo
Piedra 3/4,3278.34,426.25,ton,CEMENTO SUR,2024-09-16,20260405_232605,erp_odoo
Piedra 3/4,613.8,140.38,ton,EXSA,2024-07-27,20260405_232605,erp_odoo
Cemento,3877.49,459.32,m2,EXSA,2024-03-20,20260405_232605,erp_odoo
Arena Gruesa,432.81,133.73,m2,CEMENTO SUR,2024-11-29,20260405_232605,erp_odoo
Piedra 3/4,2822.88,102.97,ml,EXSA,2024-04-25,20260405_232605,erp_odoo
Asfalto RC-250,4615.29,145.9,ml,CONCREMAX,2024-12-18,20260405_232605,erp_odoo
Asfalto RC-250,2088.63,64.86,m2,FIRTH,2024-10-03,20260405_232605,erp_odoo
Emulsión,655.02,198.31,m2,YURA,2024-03-03,20260405_232605,erp_odoo
Asfalto RC-250,2495.35,771.42,ton,CEMENTO SUR,2024-01-07,20260405_232605,erp_odoo
Tubería HDPE,3185.07,440.94,ml,YURA,2024-10-11,20260405_232605,erp_odoo
Piedra 3/4,2920.24,232.71,und,FIRTH,2024-10-18,20260405_232605,erp_odoo
Piedra 3/4,4892.54,369.84,ton,UNACEM,2024-04-20,20260405_232605,erp_odoo
Geomalla,771.7,726.36,m3,UNACEM,2024-02-08,20260405_232605,erp_odoo
Piedra 3/4,1328.16,68.91,,CEMENTO SUR,2024-05-23,20260405_232605,erp_odoo
Geomalla,3906.72,638.96,,YURA,2024-03-30,20260405_232605,erp_odoo
Asfalto RC-250,4358.46,620.13,ml,FIRTH,2024-08-09,20260405_232605,erp_odoo
Cemento,886.07,778.87,und,EXSA,2024-06-30,20260405_232605,erp_odoo
Tubería HDPE,3300.53,593.29,und,FIRTH,2024-07-26,20260405_232605,erp_odoo
Arena Gruesa,435.73,359.24,ml,CONCREMAX,2024-03-30,20260405_232605,erp_odoo
Cemento,3356.42,95.84,m2,CEMENTO SUR,2024-05-18,20260405_232605,erp_odoo
Arena Gruesa,519.45,367.12,m2,UNACEM,2024-10-20,20260405_232605,erp_odoo
Arena Gruesa,3544.72,369.21,,FIRTH,2024-03-27,20260405_232605,erp_odoo
Piedra 3/4,4541.24,442.34,und,FIRTH,2024-09-18,20260405_232605,erp_odoo
Piedra 3/4,4537.49,192.65,und,CONCREMAX,2024-08-16,20260405_232605,erp_odoo
Emulsión,554.86,45.0,ton,EXSA,2024-07-31,20260405_232605,erp_odoo
Cemento,2218.5,276.3,m3,CONCREMAX,2024-10-16,20260405_232605,erp_odoo
Cemento,3918.71,532.75,und,FIRTH,2024-09-22,20260405_232605,erp_odoo
Cemento,2761.47,664.4,ton,YURA,2024-10-14,20260405_232605,erp_odoo
Acero Corrugado,4416.19,38.93,m2,UNACEM,2024-11-11,20260405_232605,erp_odoo
Acero Corrugado,4685.18,430.0,ml,EXSA,2024-12-17,20260405_232605,erp_odoo
Emulsión,579.65,222.0,und,CONCREMAX,2024-11-04,20260405_232605,erp_odoo
Tubería HDPE,4943.96,683.62,ml,UNACEM,2024-07-26,20260405_232605,erp_odoo
Emulsión,,129.22,m3,CEMENTO SUR,2024-06-20,20260405_232605,erp_odoo
Cemento,3586.05,299.84,und,CEMENTO SUR,2024-08-16,20260405_232605,erp_odoo
Piedra 3/4,302.48,182.56,m2,CONCREMAX,2024-01-16,20260405_232605,erp_odoo
Acero Corrugado,4984.73,325.65,m2,YURA,2024-12-03,20260405_232605,erp_odoo
Emulsión,4090.95,381.87,m3,CONCREMAX,2024-08-31,20260405_232605,erp_odoo
Geomalla,4311.11,500.56,m3,UNACEM,2024-09-11,20260405_232605,erp_odoo
Geomalla,1622.05,670.49,und,CONCREMAX,2024-10-07,20260405_232605,erp_odoo
Arena Gruesa,,629.67,,CEMENTO SUR,2024-12-08,20260405_232605,erp_odoo
Piedra 3/4,,250.84,m3,CONCREMAX,2024-05-31,20260405_232605,erp_odoo
Cemento,1280.0,29.5,m3,UNACEM,2024-01-12,20260405_232605,erp_odoo
Asfalto RC-250,3725.67,212.59,,UNACEM,2024-05-31,20260405_232605,erp_odoo
Asfalto RC-250,4343.65,785.57,ml,CEMENTO SUR,2024-12-03,20260405_232605,erp_odoo
Acero Corrugado,2421.12,164.35,ml,EXSA,2024-09-25,20260405_232605,erp_odoo
Tubería HDPE,1302.21,557.65,ton,EXSA,2024-11-27,20260405_232605,erp_odoo
Acero Corrugado,4397.92,77.88,ton,FIRTH,2024-09-06,20260405_232605,erp_odoo
Arena Gruesa,2439.26,680.02,,UNACEM,2024-12-03,20260405_232605,erp_odoo
Arena Gruesa,1159.24,748.7,m2,CONCREMAX,2024-12-27,20260405_232605,erp_odoo
Piedra 3/4,2632.25,532.81,ml,YURA,2024-11-23,20260405_232605,erp_odoo
Acero Corrugado,4579.65,481.59,m3,YURA,2024-01-17,20260405_232605,erp_odoo
Piedra 3/4,4596.97,697.59,ml,YURA,2024-11-30,20260405_232605,erp_odoo
Cemento,4344.18,611.0,m3,CEMENTO SUR,2024-09-11,20260405_232605,erp_odoo
Arena Gruesa,4314.39,247.14,und,FIRTH,2024-04-12,20260405_232605,erp_odoo
Piedra 3/4,2066.6,673.01,und,FIRTH,2024-06-04,20260405_232605,erp_odoo
Piedra 3/4,1034.61,742.96,,YURA,2024-04-18,20260405_232605,erp_odoo
Asfalto RC-250,2002.47,113.92,ton,EXSA,2024-01-05,20260405_232605,erp_odoo
Asfalto RC-250,2321.83,668.85,ton,YURA,2024-07-14,20260405_232605,erp_odoo
Piedra 3/4,4749.01,11.73,m2,YURA,2024-09-07,20260405_232605,erp_odoo
Arena Gruesa,3149.35,511.68,und,UNACEM,2024-05-06,20260405_232605,erp_odoo
Emulsión,4048.78,706.01,m3,FIRTH,2024-07-07,20260405_232605,erp_odoo
Cemento,,286.81,,CONCREMAX,2024-08-14,20260405_232605,erp_odoo
Cemento,2790.36,483.62,und,FIRTH,2024-12-13,20260405_232605,erp_odoo
Cemento,796.99,34.14,ton,CEMENTO SUR,2024-12-18,20260405_232605,erp_odoo
Arena Gruesa,647.15,624.95,m3,CONCREMAX,2024-01-14,20260405_232605,erp_odoo
Piedra 3/4,2305.65,213.32,und,EXSA,2024-11-05,20260405_232605,erp_odoo
Geomalla,4873.43,341.74,m2,EXSA,2024-10-07,20260405_232605,erp_odoo
Emulsión,3376.5,724.02,m3,YURA,2024-02-02,20260405_232605,erp_odoo
Emulsión,2970.91,15.56,,FIRTH,2024-06-05,20260405_232605,erp_odoo
Asfalto RC-250,1321.05,302.16,m3,CONCREMAX,2024-07-16,20260405_232605,erp_odoo
Arena Gruesa,3626.16,427.87,,CONCREMAX,2024-05-04,20260405_232605,erp_odoo
Asfalto RC-250,3462.31,306.86,ml,FIRTH,2024-08-03,20260405_232605,erp_odoo
Acero Corrugado,1264.6,726.19,ton,CEMENTO SUR,2024-03-02,20260405_232605,erp_odoo
Acero Corrugado,1715.66,541.77,und,CEMENTO SUR,2024-05-18,20260405_232605,erp_odoo
Piedra 3/4,1199.43,33.6,ml,UNACEM,2024-09-02,20260405_232605,erp_odoo
Emulsión,,651.48,ml,FIRTH,2024-07-12,20260405_232605,erp_odoo
Acero Corrugado,3659.35,685.62,m3,EXSA,2024-03-27,20260405_232605,erp_odoo
Cemento,2052.68,41.3,und,EXSA,2024-01-27,20260405_232605,erp_odoo
Acero Corrugado,3111.43,688.51,ton,EXSA,2024-04-28,20260405_232605,erp_odoo
Cemento,2325.28,220.0,m2,CEMENTO SUR,2024-02-10,20260405_232605,erp_odoo
Tubería HDPE,276.92,663.73,ton,CONCREMAX,2024-09-30,20260405_232605,erp_odoo
Tubería HDPE,1661.15,468.26,und,YURA,2024-03-20,20260405_232605,erp_odoo
Emulsión,4944.87,157.03,,YURA,2024-09-26,20260405_232605,erp_odoo
Cemento,694.86,733.74,,EXSA,2024-11-04,20260405_232605,erp_odoo
Tubería HDPE,216.47,146.92,und,YURA,2024-01-21,20260405_232605,erp_odoo
Geomalla,1017.25,50.65,m2,UNACEM,2024-11-02,20260405_232605,erp_odoo
Arena Gruesa,,408.83,m2,YURA,2024-08-11,20260405_232605,erp_odoo
Geomalla,208.65,155.29,m2,FIRTH,2024-11-27,20260405_232605,erp_odoo
Piedra 3/4,4382.49,553.72,ml,UNACEM,2024-01-01,20260405_232605,erp_odoo
Acero Corrugado,4056.75,596.61,m3,YURA,2024-03-16,20260405_232605,erp_odoo
Asfalto RC-250,2153.0,122.6,ml,CEMENTO SUR,2024-03-07,20260405_232605,erp_odoo
Tubería HDPE,846.56,299.99,m3,EXSA,2024-03-18,20260405_232605,erp_odoo
Tubería HDPE,3209.14,544.09,,FIRTH,2024-10-05,20260405_232605,erp_odoo
Asfalto RC-250,2329.58,344.09,ml,CEMENTO SUR,2024-04-29,20260405_232605,erp_odoo
Piedra 3/4,458.4,585.04,m2,EXSA,2024-05-21,20260405_232605,erp_odoo
Arena Gruesa,1584.81,464.3,,FIRTH,2024-05-09,20260405_232605,erp_odoo
Piedra 3/4,2202.87,531.27,und,YURA,2024-01-04,20260405_232605,erp_odoo
Piedra 3/4,4130.54,540.68,ton,UNACEM,2024-06-12,20260405_232605,erp_odoo
Geomalla,752.1,296.36,m3,FIRTH,2024-09-15,20260405_232605,erp_odoo
Piedra 3/4,4582.83,351.58,m3,EXSA,2024-09-25,20260405_232605,erp_odoo
Piedra 3/4,3206.74,222.02,und,YURA,2024-04-08,20260405_232605,erp_odoo
Piedra 3/4,3446.37,287.04,m3,CEMENTO SUR,2024-03-08,20260405_232605,erp_odoo
Emulsión,3103.54,301.41,und,YURA,2024-05-06,20260405_232605,erp_odoo
Arena Gruesa,2751.62,782.34,ml,CEMENTO SUR,2024-09-10,20260405_232605,erp_odoo
Emulsión,4274.76,303.4,m2,FIRTH,2024-09-27,20260405_232605,erp_odoo
Cemento,656.0,435.86,ton,UNACEM,2024-07-30,20260405_232605,erp_odoo
Piedra 3/4,474.73,474.38,,YURA,2024-04-08,20260405_232605,erp_odoo
Arena Gruesa,3389.97,94.48,ml,UNACEM,2024-02-28,20260405_232605,erp_odoo
Geomalla,3181.65,303.97,,FIRTH,2024-12-13,20260405_232605,erp_odoo
Arena Gruesa,627.94,429.0,m2,FIRTH,2024-02-10,20260405_232605,erp_odoo
Tubería HDPE,4199.2,330.88,m2,CONCREMAX,2024-06-17,20260405_232605,erp_odoo
Tubería HDPE,265.19,590.81,ton,CEMENTO SUR,2024-06-10,20260405_232605,erp_odoo
Tubería HDPE,434.07,130.4,,CEMENTO SUR,2024-01-01,20260405_232605,erp_odoo
Emulsión,1949.81,730.58,ton,FIRTH,2024-02-25,20260405_232605,erp_odoo
Arena Gruesa,1221.63,709.84,,UNACEM,2024-07-07,20260405_232605,erp_odoo
Arena Gruesa,3827.86,337.31,m2,YURA,2024-01-01,20260405_232605,erp_odoo
Geomalla,2802.88,71.52,,FIRTH,2024-02-13,20260405_232605,erp_odoo
Acero Corrugado,4076.7,520.42,ton,CEMENTO SUR,2024-02-22,20260405_232605,erp_odoo
Asfalto RC-250,286.66,346.78,und,FIRTH,2024-03-18,20260405_232605,erp_odoo
Emulsión,641.94,412.26,m2,FIRTH,2024-02-07,20260405_232605,erp_odoo
Piedra 3/4,1652.62,92.91,m3,CEMENTO SUR,2024-08-26,20260405_232605,erp_odoo
Tubería HDPE,1748.93,768.95,m2,EXSA,2024-04-08,20260405_232605,erp_odoo
Asfalto RC-250,48.31,771.8,m2,YURA,2024-09-28,20260405_232605,erp_odoo
Tubería HDPE,4296.85,354.56,ml,FIRTH,2024-05-12,20260405_232605,erp_odoo
Emulsión,3395.96,60.76,m3,CEMENTO SUR,2024-11-26,20260405_232605,erp_odoo
Arena Gruesa,4604.98,177.61,ton,EXSA,2024-10-01,20260405_232605,erp_odoo
Piedra 3/4,4604.27,149.91,m3,CONCREMAX,2024-07-20,20260405_232605,erp_odoo
Cemento,3372.67,18.24,,FIRTH,2024-01-04,20260405_232605,erp_odoo
Arena Gruesa,4398.21,654.4,m3,FIRTH,2024-08-18,20260405_232605,erp_odoo
Arena Gruesa,3031.3,270.01,,FIRTH,2024-02-18,20260405_232605,erp_odoo
Tubería HDPE,3671.05,155.33,m3,EXSA,2024-05-12,20260405_232605,erp_odoo
Piedra 3/4,1663.49,240.0,,EXSA,2024-08-05,20260405_232605,erp_odoo
Asfalto RC-250,275.22,147.7,,YURA,2024-11-09,20260405_232605,erp_odoo
Piedra 3/4,919.88,644.08,und,UNACEM,2024-08-02,20260405_232605,erp_odoo
Geomalla,2097.91,789.58,m2,UNACEM,2024-11-08,20260405_232605,erp_odoo
Cemento,,500.28,,YURA,2024-09-04,20260405_232605,erp_odoo
Asfalto RC-250,4542.53,533.72,m3,CONCREMAX,2024-04-25,20260405_232605,erp_odoo
Arena Gruesa,1276.32,184.53,m2,EXSA,2024-06-09,20260405_232605,erp_odoo
Asfalto RC-250,3144.82,711.83,m3,EXSA,2024-09-03,20260405_232605,erp_odoo
Cemento,1534.17,320.47,und,CONCREMAX,2024-06-19,20260405_232605,erp_odoo
Emulsión,678.77,341.12,m3,UNACEM,2024-02-23,20260405_232605,erp_odoo
Piedra 3/4,,208.97,und,FIRTH,2024-10-22,20260405_232605,erp_odoo
Emulsión,3494.3,678.61,ton,YURA,2024-07-10,20260405_232605,erp_odoo
Geomalla,4688.4,541.83,m3,CEMENTO SUR,2024-11-06,20260405_232605,erp_odoo
Asfalto RC-250,1551.3,747.94,ton,EXSA,2024-07-28,20260405_232605,erp_odoo
Emulsión,4636.97,146.75,m3,UNACEM,2024-01-10,20260405_232605,erp_odoo
Arena Gruesa,3773.53,205.24,ml,YURA,2024-09-05,20260405_232605,erp_odoo
Asfalto RC-250,3852.17,798.12,,UNACEM,2024-10-06,20260405_232605,erp_odoo
Tubería HDPE,228.98,361.93,und,CONCREMAX,2024-11-25,20260405_232605,erp_odoo
Tubería HDPE,3278.97,246.13,,CEMENTO SUR,2024-05-23,20260405_232605,erp_odoo
Acero Corrugado,661.9,537.99,ton,CEMENTO SUR,2024-01-18,20260405_232605,erp_odoo
Asfalto RC-250,291.54,182.08,,EXSA,2024-08-27,20260405_232605,erp_odoo
Geomalla,1976.64,370.65,,FIRTH,2024-09-23,20260405_232605,erp_odoo
Asfalto RC-250,3679.13,783.85,ml,UNACEM,2024-05-03,20260405_232605,erp_odoo
Cemento,3593.86,563.51,ml,EXSA,2024-10-16,20260405_232605,erp_odoo
Piedra 3/4,94.19,399.73,und,YURA,2024-10-30,20260405_232605,erp_odoo
Asfalto RC-250,3480.59,74.68,m3,FIRTH,2024-12-13,20260405_232605,erp_odoo
Geomalla,191.84,559.26,ton,UNACEM,2024-09-09,20260405_232605,erp_odoo
Tubería HDPE,1197.33,639.66,und,UNACEM,2024-11-19,20260405_232605,erp_odoo
Acero Corrugado,2562.47,580.38,,UNACEM,2024-01-05,20260405_232605,erp_odoo
Piedra 3/4,3280.23,197.67,ton,YURA,2024-10-21,20260405_232605,erp_odoo
Emulsión,2849.18,485.69,m3,YURA,2024-09-06,20260405_232605,erp_odoo
Tubería HDPE,1498.67,658.12,m3,UNACEM,2024-10-26,20260405_232605,erp_odoo
Piedra 3/4,1621.44,657.99,m2,CONCREMAX,2024-01-04,20260405_232605,erp_odoo
Emulsión,3886.01,20.51,m2,FIRTH,2024-03-15,20260405_232605,erp_odoo
Tubería HDPE,2880.93,714.77,ton,CONCREMAX,2024-09-11,20260405_232605,erp_odoo
Piedra 3/4,4752.92,768.62,m2,CONCREMAX,2024-01-21,20260405_232605,erp_odoo
Tubería HDPE,2203.61,575.12,und,CEMENTO SUR,2024-06-10,20260405_232605,erp_odoo
Piedra 3/4,2826.62,110.51,ton,FIRTH,2024-07-15,20260405_232605,erp_odoo
Emulsión,3626.49,473.62,m3,FIRTH,2024-09-17,20260405_232605,erp_odoo
Emulsión,972.42,124.91,m2,UNACEM,2024-02-11,20260405_232605,erp_odoo
Cemento,2827.92,34.78,ml,FIRTH,2024-02-25,20260405_232605,erp_odoo
Emulsión,101.14,639.0,,UNACEM,2024-05-19,20260405_232605,erp_odoo
Geomalla,3303.65,154.16,ton,CONCREMAX,2024-07-10,20260405_232605,erp_odoo
Asfalto RC-250,2052.91,397.29,und,UNACEM,2024-12-24,20260405_232605,erp_odoo
Piedra 3/4,4142.66,461.63,m2,YURA,2024-02-25,20260405_232605,erp_odoo
Tubería HDPE,884.73,598.97,ml,EXSA,2024-07-18,20260405_232605,erp_odoo
Arena Gruesa,243.66,768.52,m2,EXSA,2024-03-24,20260405_232605,erp_odoo
Tubería HDPE,2237.1,136.09,,CEMENTO SUR,2024-09-20,20260405_232605,erp_odoo
Piedra 3/4,1606.76,368.04,und,CEMENTO SUR,2024-07-25,20260405_232605,erp_odoo
Asfalto RC-250,3268.65,525.57,,YURA,2024-03-18,20260405_232605,erp_odoo
Arena Gruesa,2879.81,643.32,ton,YURA,2024-08-06,20260405_232605,erp_odoo
Arena Gruesa,250.46,322.04,m2,FIRTH,2024-10-03,20260405_232605,erp_odoo
Acero Corrugado,600.67,532.79,ml,UNACEM,2024-02-04,20260405_232605,erp_odoo
Tubería HDPE,2444.09,356.76,ton,EXSA,2024-12-05,20260405_232605,erp_odoo
Geomalla,1742.24,207.12,m2,CONCREMAX,2024-07-15,20260405_232605,erp_odoo
Geomalla,324.15,120.6,ml,FIRTH,2024-11-18,20260405_232605,erp_odoo
Asfalto RC-250,946.36,774.13,und,UNACEM,2024-12-06,20260405_232605,erp_odoo
Piedra 3/4,390.51,23.47,m2,CONCREMAX,2024-06-13,20260405_232605,erp_odoo
Cemento,3170.6,694.27,ton,YURA,2024-07-17,20260405_232605,erp_odoo
Tubería HDPE,2026.5,411.89,und,FIRTH,2024-02-24,20260405_232605,erp_odoo
Cemento,4661.11,410.4,m3,YURA,2024-09-14,20260405_232605,erp_odoo
Acero Corrugado,4488.87,301.6,ml,CEMENTO SUR,2024-06-30,20260405_232605,erp_odoo
Asfalto RC-250,2354.14,196.05,ton,FIRTH,2024-02-06,20260405_232605,erp_odoo
Cemento,1109.15,729.69,,CONCREMAX,2024-10-22,20260405_232605,erp_odoo
